t,elapsed_s,standby_normal,standby_core,standby_reserve,standby_total,avail_mb,committed,cache_bytes,phys_used_bytes,gpu_mib
07:54:21,243.9,7734882304,186589184,114688,7921586176,7567,232248606720,161325056,94662529024,29870
07:54:25,248.1,7669575680,186605568,1073152,7857254400,7500,232216313856,158347264,94719516672,29854
07:54:29,252.2,7566315520,186605568,45056,7752966144,7417,232544149504,157806592,94823690240,30123
07:54:33,256.4,7515594752,186585088,679936,7702859776,7362,232565297152,158138368,94881177600,30128
07:54:37,260.6,7453085696,186585088,1228800,7640899584,7315,232536023040,158187520,94937026560,30128
07:54:41,264.8,6224818176,186585088,159744,6411563008,6129,234394615808,158699520,96174108672,31080
07:54:46,268.9,6109310976,186580992,69632,6295961600,6011,234480529408,159035392,96312819712,31077
07:54:50,273.1,5806878720,186089472,0,5992968192,5717,234600153088,159309824,96683454464,31082
07:54:54,277.3,5693644800,186597376,1384448,5881626624,8455,229447733248,157429760,93743726592,30668
07:54:58,281.5,5694435328,186662912,2576384,5883674624,8396,229419970560,158236672,93792899072,30668
07:55:02,285.7,5694369792,186646528,4485120,5885501440,8401,229385609216,157945856,93792116736,30697
07:55:07,289.9,5720195072,186646528,5505024,5912346624,8421,229428973568,158400512,93785530368,30697
07:55:11,294.1,5718679552,186646528,6324224,5911650304,8417,229409697792,158060544,93776814080,30701
07:55:15,298.2,5759692800,185126912,11988992,5956808704,8407,229514559488,161017856,93783773184,30725
07:55:19,302.4,5739454464,185237504,44085248,5968777216,8370,229504876544,161550336,93821976576,30723
07:55:23,306.6,5740351488,185196544,53243904,5978791936,8235,229505269760,161591296,93963104256,30725
07:55:27,310.8,5738479616,185114624,59924480,5983518720,7762,231291822080,163282944,94472835072,30705
07:55:32,315.0,5741895680,185106432,69111808,5996113920,7661,231396319232,161865728,94570541056,30707
07:55:36,319.2,5742182400,184868864,72929280,5999980544,5761,234183270400,162754560,96598831104,31403
07:55:40,323.3,5751619584,185090048,16310272,5953019904,5726,234113040384,161992704,96595107840,31403
07:55:44,327.5,5747798016,185090048,16064512,5948952576,5721,234131714048,161935360,96602488832,31403
07:55:48,331.7,5742899200,185090048,76591104,6004580352,5779,234145431552,162230272,96557731840,31403
07:55:53,335.9,5751160832,185090048,78557184,6014808064,5798,234105643008,161443840,96541339648,31403
07:55:57,340.1,5748826112,185081856,78671872,6012579840,5791,234117226496,161529856,96533028864,31403
07:56:01,344.3,5748858880,185073664,79302656,6013235200,5809,234085380096,161566720,96504565760,31403
07:56:05,348.5,5766594560,184836096,86372352,6037803008,5770,234098180096,162545664,96550260736,31403
07:56:09,352.6,5731336192,184049664,0,5915385856,5643,233950752768,163065856,96694181888,30840
07:56:14,356.8,5461602304,184066048,10268672,5655937024,5402,234021937152,163475456,96951992320,30689
07:56:18,361.0,5210845184,184090624,0,5394935808,5147,234382434304,162967552,97199054848,30824
07:56:22,365.2,5115420672,184086528,21561344,5321068544,5217,234221522944,162783232,97127247872,30802
07:56:26,369.4,5114011648,184086528,25104384,5323202560,5155,234548736000,163307520,97192321024,31044
07:56:30,373.5,5183500288,185151488,26779648,5395431424,13854,181122392064,163512320,87919616000,1714
07:56:34,377.7,5547769856,185151488,27774976,5760696320,35189,112279552000,163512320,65246298112,1681
07:56:39,381.9,5564456960,184934400,76898304,5826289664,63233,83263184896,163999744,35755130880,1681
07:56:43,386.0,5783752704,185184256,82038784,6050975744,77599,52398702592,164298752,21218799616,1680
07:56:47,390.2,5782937600,185167872,83070976,6051176448,77608,52395028480,163614720,21116936192,1680
07:56:51,394.3,5952610304,185606144,22593536,6160809984,80210,47347752960,163545088,18493624320,795
07:56:55,398.5,5952196608,185597952,23769088,6161563648,80191,47383699456,163373056,18565492736,795
07:56:59,402.7,5802344448,185233408,25522176,6013100032,79486,49317421056,173244416,19265466368,820
07:57:04,406.9,5794770944,185237504,27373568,6007382016,78245,52160303104,163880960,20548173824,2110
07:57:08,411.1,5815922688,185233408,31551488,6032707584,78293,52058030080,163966976,20499947520,2090
07:57:12,415.3,5813719040,185233408,31666176,6030618624,78291,52070711296,163975168,20510425088,2090
07:57:16,419.5,5816074240,185233408,50262016,6051569664,78275,52088487936,164507648,20520955904,2090
07:57:20,423.6,5815025664,185233408,50827264,6051086336,78278,52091363328,164818944,20532527104,2090
07:57:24,427.8,5817495552,185233408,51060736,6053789696,78269,52085792768,165163008,20524806144,2090
07:57:29,432.0,5815992320,185233408,51785728,6053011456,78250,52107104256,165912576,20537176064,2090
07:57:33,436.2,5816459264,185454592,53284864,6055198720,78245,52108062720,165224448,20565872640,2090
07:57:37,440.4,5814120448,185446400,54763520,6054330368,78190,52189609984,164802560,20623376384,1942
07:57:41,444.6,5814128640,185364480,56287232,6055780352,78121,51886276608,165457920,20678512640,1416
07:57:45,448.8,5817393152,185389056,56082432,6058864640,77869,52165160960,164982784,20961292288,1489
07:57:50,453.0,5817745408,185262080,57761792,6060769280,77848,52130668544,164605952,20974596096,1453
07:57:54,457.2,5812330496,185262080,57565184,6055157760,77782,52410097664,167608320,21053321216,1714
07:57:58,461.4,5813317632,185262080,57786368,6056366080,77785,52392337408,164896768,21036650496,1714
07:58:02,465.6,5796409344,183709696,61812736,6041931776,77619,52745269248,170106880,21263065088,1777
07:58:07,469.9,5808050176,183705600,62566400,6054322176,76644,56434966528,180518912,22240038912,1752
07:58:11,474.0,5771374592,183889920,63451136,6018715648,74445,62806503424,225243136,24553275392,3012
07:58:15,478.2,6550167552,183439360,75194368,6808801280,72963,76105494528,165011456,25951617024,6535
07:58:19,482.4,12229263360,183754752,75866112,12488884224,71341,76908847104,165249024,26420502528,11395
07:58:23,486.6,13649960960,183754752,71864320,13905580032,72523,125698498560,165167104,26557460480,7945
07:58:28,490.8,13624696832,183754752,65675264,13874126848,72483,125670457344,164921344,27184103424,7975
07:58:32,495.1,13625098240,183857152,66609152,13875564544,64260,194879336448,164962304,35497361408,7980
07:58:36,499.3,13620056064,183857152,66965504,13870878720,57026,194579415040,165203968,43298189312,7954
07:58:40,503.5,13626421248,183857152,68042752,13878321152,49855,194586705920,164528128,50955730944,7945
07:58:44,507.6,13619261440,183857152,74178560,13877297152,42162,194257731584,164790272,58945748992,7285
07:58:48,511.8,13590200320,183726080,74907648,13848834048,34396,196607053824,192045056,67095367680,7801
07:58:53,516.0,13619978240,183730176,75325440,13879033856,27028,197274169344,167227392,74814058496,7700
07:58:57,520.1,13612830720,183857152,76062720,13872750592,20359,195224641536,165302272,81204903936,7329
07:59:01,524.4,13272399872,183857152,0,13456257024,12986,194892533760,164622336,89337704448,7329
07:59:05,528.6,6206296064,183857152,0,6390153216,6096,195631644672,164540416,96209723392,7569
07:59:10,533.1,6035218432,183857152,1171456,6220247040,6419,208093384704,164712448,95867371520,8470
07:59:14,537.3,5930930176,183848960,4096,6114783232,5852,216784523264,165376000,96464453632,27902
07:59:18,541.4,7262117888,183857152,2297856,7448272896,7566,231673114624,171413504,94696595456,29870
07:59:22,545.6,7260184576,183857152,4096,7444045824,7126,232354893824,165089280,95129378816,30015
07:59:26,549.8,7258710016,183840768,1605632,7444156416,7237,231370752000,165158912,94603341824,29102
07:59:31,554.0,7273279488,183853056,5713920,7462846464,9401,227361992704,169947136,92839550976,29146
07:59:35,558.2,7270293504,183959552,7340032,7461593088,8946,229148979200,185303040,93236092928,29151
